DATE,			Bet Number,		Result_A,	Result_B,	Bet Money,	Seed Money,	Earning Money,	Team
2018-10-11,		2018-10-001,	3,			1,			85,			27,			112,			0			
2018-10-12,		2018-10-002,	3,			3,			50,			50,			75,				0			
2018-10-12,		2018-10-003,	3,			0,			85,			0,			0,				0		
2018-10-12,		2018-10-004,	3,			3,			100,		50,			92,				0		
2018-10-13,		2018-10-005,	3,			3,			85,			40,			115,			0		
2018-10-13,		2018-10-006,	3,			3,			89,			45,			98,				0		
2018-10-13,		2018-10-007,	3,			0,			89,			0,			0,				0			
2018-10-13,		2018-10-008,	3,			3,			98,			52,			98,				0			
2018-10-14,		2018-10-009,	3,			3,			93,			48,			103,			釜山偶像 & 木槿花
2018-10-14,		2018-10-010,	3,			3,			69,			30,			124,			松本山雅 & 千叶市原
2018-10-14,		2018-10-011,	0,			0,			61,			0,			0,				沙佩科恩斯 & 克鲁塞罗
